Text,Class
ഇപ്പൊ കയ്യിന്റെ മുട്ടിലെ കറുപ്പ് ആരും കാണുന്നത് കൊണ്ട് ബുദ്ധിമുട്ടില്ലെ,Non-abusive
ഇവരെ മാത്രമേ കിട്ടിയുള്ളൂ  ദാരിദ്ര്യം മാണോ ബ്രോ,Abusive
എന്തുകൊണ്ട് ആണെന്ന് അറിയില്ല...മറ്റെല്ലാ വീഡിയോ ഒരു പ്രവശിയം കണ്ടാലും പിന്നെയും കാണാൻ തോന്നും...ഇൗ വീഡിയോ ഒരു പ്രാവിശ്യം പോലും കാണാൻ തോന്നുന്നില്ല....3 മിനിറ്റ് കണ്ടിട്ടാണ് ഞാൻ ഇൗ കമൻറ് ഇടുന്നത്...,Non-abusive
കേസ് കൊടുത്തോ??? ഖൈസ് മാത്രം അല്ലേ മാപ്പ് പറഞ്ഞുള്ളു,Non-abusive
അടുത്ത തട്ടിപ്പ്. കുഞ്ഞുങ്ങൾ ഉള്ള സകലരും ഇങ്ങനെയാണോ?,Abusive
സോഷ്യൽ മീഡിയയുടെ ഇക്കാലത്ത് തൊലിക്കട്ടിയുള്ള എല്ലാവരും സ്വയം സിലിബ്രിറ്റികളാണ്...,Abusive
വിദ്യാഭ്യാസ മുള്ള ഒറ്റൊരുത്തനുമില്ലേ ഇത് മനസിലാക്കാൻ,Non-abusive
നെഗറ്റീവ് കമന്റ് ഇടുന്നവരെ ശ്രദ്ധിച്ചാൽ മനസിലാവും.. എല്ലാം  മദ്രസ കഴുതകൾ ആണ്,Non-abusive
ചിന്തയുടെ  വലതു ഭാഗത്തു  ഇരിക്കുന്ന ആ സഹോദരിയുടെ മുഖഭാവം എല്ലാം വിളിച്ചു പറയുന്നുണ്ട്...ഇതിനെയൊക്കെ  എങ്ങനെ സഹിക്കുമോ എന്തോ....എന്തരോ    ഏതോ.....,Non-abusive
ചേച്ചി ഒറിജിനൽ പൊട്ടിആണോ.. അതോ  പൊട്ടിയായിട് അഭിനയിക്കുവാണോ സിവനെ ഇത് ഏത് ജില്ല,Abusive
ഒന്ന് വൈറലാവാൻ നോക്കാണ് നടക്കുന്നില്ല എന്തല്ലാം കഷ്ടപ്പാടാണ് അല്ലെ ജീവിക്കാൻ,Non-abusive
സീസൺ 4ടൈറ്റിൽ വിന്നർ ഒരു വനിതാ ആകട്ടെ അത് ചരിത്രം ആകട്ടെ അത് ദിൽഷയാകട്ടെ എന്ന ഡോക്ടർ ന്റെ പറച്ചിലും ആണ് മോളേ നീ പൊക്കിയ ആ കപ്പ്‌. ഒകെ.,Abusive
"""ഒരു സത്യം പറയട്ടെ ഇവൻ മറ്റവളെ ഇഷ്ടം ആണെന്ന് ഭരിയോട് പറഞ്ഞപ്പോ അവൾ സമ്മതിച്ചില്ല എങ്കിൽ ഇപ്പോൾ അവളെ ഡിവോഴ്സ് ആക്കിട്ട് ഇണ്ടാകും ,""",Non-abusive
നിന്റെ വളിപ്പ് കാമുകൻ  ആണല്ലേ  ആ  കാള  പൂട്ട് കൂരജ്  നാറി,Abusive
ഇവൾക്ക് എന്തോ നല്ല കൃമികടിയുണ്ട്... കെടന്നു ഞെരിപിളി കൊള്ളൂവാ .... പാവം അനുപേട്ടൻ... ഏട്ടാ എങ്ങനെ കണ്ട്രോൾ ചെയ്തു... ഞാൻ ആർണെൽ അവള് കേക്കാത്ത തെറി ഞാൻ പറഞ്ഞുപോയേനെ...,Abusive
എന്ത് പ്രഹസനം ആണ്... പിന്നെ എന്ത് വീഡിയോ കാണിക്കുന്നേ,Abusive
എന്റെ ഭർത്താവിന് വേറെ കല്യാണം കഴിച്ചു ഇതുപോലെ ജീവിക്കാൻ തോന്നുന്നെന്നു പറഞ്ഞാൽ അന്തസ്സായി ഒഴിഞ്ഞു കൊടുക്കണം.... അല്ലാതെ പങ്ക് വെച്ച് ജീവിക്കാൻ ഞാനൊരിക്കലും നിന്ന് കൊടുക്കില്ല,Non-abusive
ഡോക്ടർ സപ്പോർട്ട് ചെയ്തില്ലെങ്കിൽ താൻ അഞ്ചാം സ്ഥാനത് വരേണ്ടതാരുന്നു.,Non-abusive
നിങ്ങളുടെ തെറ്റ് മനസ്സിലാക്കാതെ എന്തിനാ ഇങ്ങനെ ന്യായീകരിക്കുന്നത്. ഹലാലായ മാർഗത്തിൽ ഉണ്ടാക്കുന്ന പൈസ മാത്രമേ നിലനിൽക്കു. പടച്ചവനെ മറന്നു പോവാഞ്ഞാൽ  നിങ്ങൾക്കു കൊള്ളാം,Non-abusive
കൊള്ളാം കൊള്ളാം വളരെ നന്നായി ഒന്നു പോയെ,Non-abusive
ഈ പരിപാടിക്ക് ഒരു അന്തസ്സ് ഉണ്ടായിരുന്നു ... ഈ തീട്ടത്തെ കൊണ്ടു വന്ന് അതില്ലാതാക്കി .... സോറി .... ഈ നിലവാരമേ അവൾ അര്ഹിക്കുന്നുള്ളൂ.....,Abusive
എന്താ പറയാ പൊട്ടനെ ചട്ടൻ ചതിച്ചാൽ ചട്ടനെ ദൈവം ചതിക്കും എന്നാ പഴം ചൊല്ല് ആണ് എനിക്ക് ഓർമ വരുന്നത് കാരണം.. ദിൽഷയെ ബ്ലസിലി ശല്യം ചെയുന്ന വീഡിയോ വന്നില്ലായിരുന്നു എങ്കിൽ ബ്ലസിലി ആണ് ജയിക്കൊള്ളൂ...  ആ വീഡിയോ ദിൽഷ ജയ്ക്കാൻ വേണ്ടി ഡോക്ടർ കുറച്ച് ഡയലോഗും ആഡ് ചെയ്ത് ഇറക്കി...ഞാൻ ഒരു ബ്ലസിലി ഫാനോ ഡോക്ടർ ഫാനോ അല്ല ഞാൻ എന്റെ വോട്ട് ഫുൾ ദിൽഷക് തന്നെ ആണ് ചെയ്തത് കാരണം എനിക്ക് അപ്പൊ ദിൽഷ ഫാൻ ആയിരുന്നു.. ഇപ്പൊ ഇങ്ങനെ ഒരു വീഡിയോ വേണ്ടിയിരുന്നില്ല...അല്ലെഗിൽ പറഞ്ഞ രീതി മാറ്റമായിരുന്നു...,Non-abusive
ദിൽഷ ഒരിക്കലും വിഷമിക്കരുത്. കാരണം നിങ്ങളെ തമ്മിൽ തെറ്റിക്കാൻ കുറേ ആളുകൾ ഉണ്ട് അതിന് അവർ അതിനു വേണ്ടി പരമാവധി ശ്രമിച്ചു കൊണ്ടിരിക്കും അതിൽ ദിൽഷ വിഴരുത്,Non-abusive
ഞാൻ എന്തെങ്കിലും അബദ്ദം പറഞ്ഞോന്നു നീ തന്നെ ഒരു അബദ്ധമാണ്  തന്തക്കും തള്ളക്കും,Abusive
സുഹാന കുട്ടികളുടെ ഉമ്മയാണ്.. അവർക്ക് ചിലവുണ്ടാവും... Mashurayk ആയി വരുന്നേയുള്ളൂ,Non-abusive
നിനക്ക് യോഗ്യത ഇല്ല കുട്ടി ഡോക്ടർ സഹോനെ കിട്ടാൻ,Non-abusive
നിലവാരം ആരാണ് നിശ്ചയിക്കുന്നത്. അവർ സന്തോഷത്തോടെ ജീവിക്കട്ടെ ..,Non-abusive
നിങ്ങളുടെ ഈ തീരുമാനം ആരെയും വേദനിപ്പിക്കില്ല ഇനിയും ആർക്കും സ്കോപ്പ് കൊടുക്കരുത്,Non-abusive
ഇങ്ങനെ പോയാൽ സ്ത്രീകൾക്ക് കുറഞ്ഞത് ഒരു വർഷമെങ്കിലും പ്രസവാവധി കൊടുക്കേണ്ടിവരും.ഒക്കെ വെറും പ്റഹസനം.,Abusive
അനൂപ് ഏട്ടൻ.. ഞങ്ങളോട് ഇത്തിരി സ്നേഹം ഉണ്ടേൽ ഇമ്മാതിരി മാടശ്ശേരി ടീമ്സിനെ കൊണ്ടുവരല്ലേ,Abusive
എന്നിക്ക് ഈ മാസം പോസിറ്റീവ് ആകാൻ പ്രാത്ഥിക്കണം,Non-abusive
ഈ സാധനത്തിനെ ഉണ്ടാക്കിയ ഊളകളെ ആണ് ആദ്യം തല്ലേണ്ടത്. ഒരു വാണം,Abusive
ഇൗ പട്ടി തീട്ടത്തിനെ ഒക്കെ ആരേലും കാണുവോ അനൂപ് ബ്രോ. മേലാൽ ഇതുപോലത്തെ വാണ കേസുകളെ പിടിച്ച് പ്രാങ്ക്‌ ആക്കരുത് ബ്ലീശ്. കൂട്ടത്തിൽ ഒരു ഡിസ്‌ലൈക്ക് കൂടെ അടിക്കുന്നു. ബെയ്,Abusive
ഒരുപാട് വാഴ നട്ടിട്ടുള്ള ആളാണ്..ഹഹഹ... ഇതുപോലെ ഡോക്ടറേറ്റ് നേടിയ എല്ലാവരുടെയും തിസീസുകൾ പുന:പരിശോധിക്കണം. ജലീലിന് കിട്ടിയതും ഇതുപോലെ തന്നെയാകും...,Non-abusive
ഈ പരുവാടി ഓൾ മോസ്റ്റ്‌ ഒകെ കണ്ടിട്ടുണ്ട് ഏറ്റവും ഇഷ്ട്ട പെടാത്ത പരുവാടി,Non-abusive
ഒള്ള എനർജി ഓക്കേ വാഴ കോണ്ട് പോയോ.,Non-abusive
ചിന്തിക്കേണ്ടതു് നേരനുഭവങ്ങൾ മാത്രം. ഇത്തിക്കണ്ണികളെ ഒഴിവാക്കാൻ പഠിക്കുക.,Non-abusive
ഈ നായിന്റമോൾക്ക് കുളിയും നനയും ഒന്നും ഇല്ലേ,Abusive
ദിൽഷാ നിങ്ങൾ പറയുന്നതു മുഴുവനും ഉൾക്കൊള്ളാൻ പറ്റില്ല കാരണം നിങ്ങൾ ബിഗ് ബോസിലുള്ള സമയത്ത് ഡോക്ടറിനോട് പെരുമാറുന്നത് ഞങ്ങൾ കാണുന്നു. പക്ഷേ അത് ഒരു ഫ്രണ്ട്സിനോടുള്ള പെരുമാറ്റം ആയി തോന്നിയില്ല നെഗറ്റീവ് ആയി ഒന്നുമല്ല പറയുന്നത് പക്ഷേ ഞങ്ങൾക്ക് നിങ്ങളോടുള്ള രണ്ടുപേരോടുള്ള ആ ഒരു ഇഷ്ടം മനസ്സിൽ തങ്ങിപ്പോയി പിന്നെ ഡോക്ടർ അദ്ദേഹം ജിനുവിനാ ഉള്ളത് തുറന്നുപറയുന്ന ആൾ പാവമാണ് പക്ഷേ അദ്ദേഹത്തിൻറെ ദേഷ്യം പലപ്പോഴും അദ്ദേഹത്തിന് തന്നെ നെഗറ്റീവ് ആയി തോന്നിയിട്ടുണ്ട് നിങ്ങൾ പറയുമ്പോൾ അദ്ദേഹത്തിന്റെ തെറ്റു മനസ്സിലാക്കി അദ്ദേഹം നിന്നിട്ടുമുണ്ട് ഒരു പെണ്ണ് വേറെ ആണിനോട് പെരുമാറുമ്പോൾ അവർക്ക് അത് ഫ്രണ്ട്സ് ആയിട്ടല്ലെങ്കിൽ പ്രണയമാണ് മനസ്സിലുള്ളതെങ്കിൽ ഒരിക്കലും ഫ്രണ്ട് ആയി കാണാൻ കഴിയില്ല ഒരുപാട് സ്വപ്നങ്ങൾ ഉണ്ട് ഡോക്ടർക്ക് നിങ്ങൾ അദ്ദേഹത്തിൻറെ ലൈഫിൽ ഉണ്ടെങ്കിൽ അദ്ദേഹത്തിനെതിരെ പോസിറ്റീവ് ആയിരിക്കും എന്ന് തോന്നിയിട്ടുണ്ടാകും എന്തായാലും നിങ്ങൾ പറഞ്ഞത് ഞങ്ങൾക്ക് വിഷമായി സാരമില്ല രണ്ടുപേർക്കും നല്ലത് വരട്ടെ,Non-abusive
എന്താപ്പോ ഓൾടെ വിചാരം  ക്രീം ഇട്ട് വെളുപ്പിച്ചാട് പോരാഞ്ഞിട്ടാണഓ കൊണ കൊണ പറഞ്ഞു വെളുപ്പിക്കുന്നത്,Abusive
ഡോക്ടർ  നല്ല  നിലയിൽ  എത്തു  ഗുരുവായൂർകണ്ണൻ  കൂടെ  ഉണ്ട്,Non-abusive
ബ്ലസ്ലിയെ ഒരുപാടിഷ്ടായിരുന്നു. അയാൾ ജയിക്കണമെന്ന് അതിയായി ആഗ്രഹിച്ചിരുന്നു. പക്ഷേ ഡോക്ടറോടുള്ള ഇഷ്ട കൂടുതൽ കാരണം ഫിനാലെ വീക്കിൽ ഡോക്ടറുടെ വാക്കുകേട്ട് മുഴുവൻ വോട്ടും നിങ്ങൾക്ക് ചെയ്തു പോയി സഹോദരീ . അതിപ്പോൾ തെറ്റായിപ്പോയെന്ന് തോന്നുന്നു.,Abusive
ദിൽഷയുടെ സ്ഥാനത്ത് നി  ന്ന്            ചിന്തിച്ചാൽ ദിൽഷയിൽ ഒരു തെറ്റുമില്ല ദിൽഷ റോബിന്റെ ഫാൻസി നോട് പറഞ്ഞോ എനിക്ക് വോട്ട് ചെയ്യാൻ . ദിൽഷ ഫ്രണ്ട് ആയിട്ടേ റോബി നെബിഗ് ബോസിലും കണ്ടിട്ടുള്ളു പിന്നെ എന്തിനാണ് ദിൽഷയെ തെറ്റുകാരി ആക്കുന്നത്,Non-abusive
ഡോക്ടർ ഇറങ്ങി പോരുന്നവരെ... ദിൽഷയെ ദേഷ്യത്തിലൊന്നു നോക്കാൻ പോലും ഡോക്ടർ അനുവദിച്ചിട്ടില്ല.. പലപ്പോഴും ഞങ്ങൾ കണ്ടതാണ് റിയാസിനെ പോലുള്ളവർ ദിൽഷയോട് ദേഷ്യത്തിൽ ഒന്ന് സംസാരിക്കാൻ പോലും ഡോക്ടർ സമ്മതിച്ചില്ല.. എന്നിട്ട് ആരും സപ്പോർട് ചെയ്തില്ല എന്നു പറഞ്ഞത് ശരിയായില്ല..,Non-abusive
നിന്റെ ദിൽഷാ ആർമി വിചാരിച്ചാൽ ഒരിക്കലും നീ വിജയ്യ്ക്കില്ല..,Abusive
ദിൽഷയുടെ  ലൈഫ്  ആണ് . ദിൽഷയ്ക്കു  തീരുമാനിക്കാം  ആരെ  വിവാഹം  കഴിക്കണം  എപ്പോ  കഴിക്കണം എന്ന്,Non-abusive
ഇന്റർവ്യൂ ഒക്കെ ഒരുപാട് തരം താഴ്ന്നു ആരൊക്കെ വിളിച്ചു വരുത്തുന്നി,Non-abusive
നുണ ഗർഭം ധരിച്ചു. സത്യം പ്രസവിച്ചിട്ടു ണ്ട്. കഥ കവിത. പലതും നമ്മൾ താലോലിക്കുമ്പോൾ. അതിലും രാഷ്ട്രീയം. അധികാരം ഉണ്ടെങ്കിൽ. ഇവിടെ എന്തും.,Non-abusive
വൈറൽ ആകാൻവേണ്ടി എന്തെല്ലാം വേലകൾ എന്നൽ എല്ലാ സ്ത്രീകളും കൈകുൻജുമായി ഓഫീസിൽ വരാമല്ലോ,Abusive
വിദ്യാഭ്യാസമുള്ള കുട്ടികൾ ഇതൊക്കെ കേട്ട് വായും പൊളിച്ചിരിക്കുന്നു,Non-abusive
"""വാഴ നട്ടു കഴിഞ്ഞാൽ നന്നായിനോക്കണ൦ എങ്കിലെ നല്ല കുല ലഭിക്കൂ. മാർക്കറ്റിൽ പോയാൽ ഇഷ്ടംപോലെ കുലയിരിക്കുന്നതു കാണാം, മാർക്കറ്റിലെ കുല എന്നായാൽ ഒരു പക്ഷെ പ്രശ്നം പരിഹരിക്കാവോ,ആവോ, എന്തോ.""",Non-abusive
നീ റിയൽ എന്ന് പറഞ്ഞാൽ ഞങ്ങൾ കൂടി വിശ്വാസം ആവണ്ടേ ജാസ്മിൻ ആൻഡ് മൂസ മനോരോഗി ആണ് നിങ്ങൾക്ക് ഇവളെ ഇന്റർവ്യൂ ചെയ്യാൻ നാണമാവില്ലേ,Abusive
മാനസികമായി ബുദ്ധിമുട്ട് ഉണ്ട് ട്രോള് കൊണ്ടെന്ന് ഒരാള് പറയുമ്പോ അത് മനസ്സിൽ ആക്കാതെ പിന്നേം പിന്നേം കളിയാക്കി ഊമ്പിക്കാൻ വരുന്നവരാണല്ലോ കമന്റ് ബോക്സ്‌ നിറയെ നീയൊക്കെ മലം ജ്യൂസ്‌ അടിച്ച് കിട്ടിയ കുടിച്ചിട്ട് പഞ്ചാര കുറവാണെന്ന് പറയുന്ന ടീം ആയിരിക്കും ല്ലോ,Abusive
ഈ  വർഷത്തെ  മികച്ച  നടിക്കുള്ള  ഓസ്കാർ  അവാർഡ്  ദിൽഷ  പ്രസന്നൻ  തന്നെ കിട്ടും,Abusive
ഫ്രണ്ടും പോയി ബ്രദറും പോയി കപ്പും കിട്ടി അയ്‌ലസാ,Abusive
എപ്പോളും ഒരു തിരിഞ്ഞുനോട്ടം നല്ലതാണ്. ഒരുപാട് വിഷമമുണ്ട് ദിൽഷ ഒരിക്കലും ദിൽഷയുടെ ഈ ഒരു ഫേസ് കാണിക്കുമെന്ന് പ്രതീക്ഷിച്ചില്ല. ഇതുവരെ സപ്പോർട്ട് ചെയ്തവരെ കൂടെനിർത്തിയവരെ ഏതു വിഷമവസ്ഥയിലും കൂടെ നിന്ന dr ഒക്കെ തള്ളിപ്പറയാൻ എങ്ങനെ കഴിയുന്നു. സമ്മതിച്ചു. ഇപ്പോളാണ് തോന്നുന്നത് ദിൽഷ റിയൽ അല്ലായിരുന്നു എന്ന്.ഒരുപാട് ഒരുപാട് വേദന ഉണ്ട്. ഒരു നിമിഷം കൊണ്ട് എല്ലാം ഉടച്ചു കളഞ്ഞു. ഒരുനാൾ വേദനിക്കാതിരിക്കട്ടെ...............,Abusive
ഇങനെ ആണ് പിൻവാതിൽ നിയമനം എല്ലാം . കേരളം കമ്മികളുടെ കയ്യിൽ ആണ് എല്ലാ മലയാളി കൾക്കും ഓൾ ദി ബെസ്‌റ്,Non-abusive
ബ്രോ എനിക്ക് ഏറ്റവും ഇഷ്ടമല്ലാത്ത എപ്പിസോഡ് ഇതാണ്,Non-abusive
ചിന്തയ്ക്ക് ആരാണ് ഒരാളുടെ കുല വെട്ടി മറ്റൊരാൾക്ക് കൊടുക്കാൻ അധികാരം നൽകിയത്? അതോ നവോഥാന നമ്പൂരിച്ഹി ആണോ താടക??,Abusive
"""ഈ കോഞ്ഞാട്ടകളെ കൊണ്ട് തന്നെ ചെയ്തല്ലേ, നിങ്ങളെ കാര്യം തീരുമാനമായി ഇവറ്റകളെ ഇഷ്ടമല്ലാത്തവർ ലൈക് ചെയ്യൂ""",Abusive
രമേശ് പിഷാരടി ക്ക് ഒരു പ്രാങ്ക് കൊടുക്കാമോ,Non-abusive
ആയോ ഇത് പോലെ രണ്ടും എണം,Abusive
നാട്ടുകാരെ വണ്ടി ഇടിച്ചു നിർത്താതെ പോകുക എന്നിട്ടു വന്നു തൂറി  മെഴുകി  ന്യായികരിക്കുക അത് തെറ്റ് അല്ല  അത്തരക്കാരെ ട്രോള്ളിയാൽ ബാൻ ചെയ്യതാൽ  പോരാ മിനിമം തൂകികൊല്ലണം  അല്ലേ സിനിമ നടി,Abusive
"""ചിന്തയുടെയും സഖാക്കളുടെയും ചിന്തകൾക്ക് ചിന്തേരിടാൻ സമയമായി. എങ്കിലേ മാർക്സ് പറഞ്ഞതിന് പ്രസക്തി വരൂ, വേറൊന്നുമല്ല,  മാറ്റമില്ലാത്തത്  ഒന്നിന് മാത്രം അതാണ് മാറ്റം . അങ്ങനെയെങ്കിൽ   ആദ്യം മാറേണ്ടത് നികൃഷ്ടൻ വിജയനും ദാസന്മാരും തന്നെ.""",Non-abusive
എന്റെ അനുപേട്ടാ  നാട്ടിൽ എത്രയോ കലാകാരന്മാര് ഉണ്ട് ഈ .സാധനത്തെ ഒഴിവാക്കാമായി രുന്നു...,Abusive
അനൂപ് തന്നെ അവളോട് സംസാരിച്ചിട്ട് ദേഷ്യം വരുന്നുണ്ട് പട്ടി ഷോ,Abusive
പൊട്ടനും പോയി മണ്ടനും പോയി ബോട്ട് കിട്ടി ഐലസാ,Non-abusive
ഈ കുട്ടിക്ക് എന്ത് പറ്റി ആവോ,Non-abusive
മറ്റുള്ളവരുടെ വളർച്ചയിൽ ചൊറിച്ചിൽ ഇളകുന്ന സമൂഹമാണ് ചുറ്റും .....ചൊറിയുന്നവർക് ഒരു മുള്ളു മുരിക്ക് കാണിച്ച് കൊടുത്തുകൊണ്ട് തന്നെ മുന്നോട്ടു പോവുക....,Non-abusive
ഡിസ്‌ലൈക്ക് അടിക്കുന്നവരോട് : ഇത് ജസ്റ്റ്‌ പ്രാങ്ക് ആണ്. അവളോട്  ദേഷ്യമുണ്ടെങ്കിൽ ഇവിടെ ഡിസ്‌ലൈക് അടിക്കുന്നത്  എന്തിനാടാ ഉവ്വേ,Non-abusive
"""സങ്കികളും, സുഡാപ്പികളും കമന്റ് ബോക്സിൽ ഉറഞ്ഞ് തുള്ളുന്നുണ്ടല്ലോ. നന്നായി കുരു പൊട്ടുന്നുണ്ടല്ലേ. കുരുക്കൾ പൊട്ടട്ടേ.""",Non-abusive
ഈ സ്ത്രീ എന്തിനാ ഇങ്ങനെ കടുകട്ടി മലയാളം പറയുന്നത്.. സാധാരണക്കാരന് മനസ്സിലാവുന്നത് ഒന്നുമില്ലേ??,Abusive
ജസ്‌ല കുറച്ചു ജാഡ ഐറ്റം ആണല്ലോ.. ഇതുപോലെ ഇനിയുംണ്ടോ ചൈനക്ക് അയക്കാൻ ആണ്,Abusive
അനൂപ്  ഏട്ടൻ വരെ വെറുത്തു ചില സമയങ്ങളിൽ ....,Non-abusive
"""കാലം പോയപോക്ക് ദൈവമേ, ഇങ്ങനെയും ഇന്റർവ്യൂ എടുക്കും അല്ലെ, നാണംകെട്ട ചാനലുകൾ""",Non-abusive
രണ്ടുപേരുംകൂടി ഇത് കാണുന്ന ഞങ്ങളെ പൊട്ടൻമാരാക്കുകയാണ് അല്ലേ..,Non-abusive
"""നിന്റെ വിജയം,, ഡോക്ടർ രാധാകൃഷ്ണന്റെ ഔദാര്യം മാത്രമാണ്,, നീ എന്തൊക്കെ പുലമ്പിയാലും..... അത് ഓർത്താൽ നല്ലത്,,, ,""",Abusive
ഇത് എവിടന്നു ഒപ്പിക്കുന്നു ഇതുപോലുള്ള ഐറ്റം ഒകെ,Abusive
രണ്ട് പടു പോക്കാച്ചികൾ... ദിയ സന ജസ്ല മാടശ്ശേരി ....,Abusive
നിനക്ക് ഗോഡ് വച്ചിട്ണ്ട് നിന്റെ ഫാമിലി ക്കും സൂരജിന്നും,Abusive
ഗൂഗിൾപേ  നമ്പർ  തന്നാൽ ഷെയർ അയച്ചു തരുമോ??,Non-abusive
"""പക്വതയും ബഹുമാനവും ഇല്ലാത്ത സ്ത്രീ ഈ ദുരന്തത്തിനെയാണോ അനൂപ് ഭായ് നിങ്ങൾ ഫ്രാങ്ക് ആക്കുന്നത് വേറെ ആരെയും കിട്ടിയില്ലേ കഷ്ടം വെറും പരാജയമാണ് ഈ സ്ത്രീ,""",Abusive
"""ആമുഖത്തിൽത്തന്നെ പിണറായിയുടെയും, ഗോവിന്ദന്റേയും, പോത്ത് ജയരാജനെയും ഒക്കെ പേരുദ്ധരിച്ചാൽ ; യൂണിവേഴ്സിറ്റിയിലെ അന്തംകമ്മി സാറന്മാർ പ്രബന്ധം വായിച്ചുനോക്കാതെ ഡോക്ടറേറ്റ് തരുമെന്നുള്ള ചിന്ത... അതുപോലെ കള്ള ഡോക്ടറേറ്ററുകൾ എടുത്തു യൂണിവേഴ്സിറ്റികളിൽ പിൻവാതിൽ നിയമനം നേടിയ കമ്മികൾ എത്രയോ ഉണ്ടിവിടെ ??""",Non-abusive
പ്ലീസ് അനൂപേട്ടാ...ഈ ജാതി തീട്ട കേസിനെ ഇതിലേക്ക് വലിച്ചിഴക്കരുത്,Abusive
ദിൽഷ നിന്നോട് കൂട്ട് കൂടിയതിനു ബ്ലസ്‌ലി ഞരമ്പൻ വരെ ആയി..നിന്നെ പറ്റി വായ തുറന്നാൽ അവൻ ഇനിയും ഞരമ്പനും കോഴിയും ആവും..അവന്റെ അനിയത്തി ശരീരം വിറ്റ് ജീവിക്കുകയാണ് എന്ന് പറഞ്ഞു ഉമ്മ കണ്ട ആണുങ്ങളുടെ കൂടെ നടക്കുകയാണ് മരിച്ചുപോയ അച്ഛൻ പെൺപിടിയൻ ആണെന്ന് പറഞ്ഞു എത്രമാത്രം ആ വീട്ടുകാർ അനുഭവിച്ചു എന്നുള്ളത് കണ്ടതാണ്..നിന്റെ പെങ്ങൾ ബ്ലസ്‌ലിയെ കുറിച്ച് ഒരു ഓഡിയോ ഇട്ടിട്ടുണ്ട്..അവരുടെ ഭാഗത്ത് നല്ല തെറ്റുണ്ട്.. അത് മനസിലാക്കുക,Non-abusive
ജാസ്മിൻ    കണ്ടക    ശെനി   കൊണ്ടേ പോകു   നല്ലോണം    ശ്രദ്ധിച്ചു   ജീവിച്ചോട്ട,Non-abusive
"""ശുദ്ധ മണ്ടത്തരം, ആയിരങ്ങള്‍ വരുന്ന സ്ഥലത്ത് കുഞ്ഞുമായി വന്നാൽ കുഞ്ഞിന്‌ ദോഷം, ഇത് പേര്‌ കിട്ടാന്‍ മാത്രം""",Abusive
റോബിൻ നു ഒരു പക ഇല്ല എന്തുവാ റോബിൻ പക ആക്കി കളിച്ചത് ഗെയിം ആവുമ്പോൾ എതിരാളികളെ എങ്ങനെ എങ്കിലും തെറിപ്പിക്കാൻ  നോക്കും  അത് മാത്രം ചെയ്തുള്ളു എനി അങ്ങനെ ഒന്നും പറയല്ലേ സഹോദരി,Non-abusive
"""നീ പോടീ, ഇടവും വലവും കാമുകൻ മാരെ കൊണ്ട് നടക്കുന്ന നീ ആണോ, നന്മമരം""",Abusive
എനിക്ക് ഗായത്രി സുരേഷ് നെ കല്യാണം കഴിക്കണം,Non-abusive
9 ക്ലാസ്സിൽ വരെ കുട്ടികളെ തോൽപിക്കാത്ത സിസ്റ്റം എന്ന് വന്നോ അന്ന് മുതൽ നമ്മുടെ പഠന നിലവാരം താഴെ പോയി സ്വന്തം പേരെഴുതാൻ അറിയാത്ത എത്രയോ കുട്ടികൾ ഡിഗ്രിയ്ക്ക് പഠിക്കുന്ന നാടാണ് നമ്മുടെ സാക്ഷരത കേരളത്തിൽ എന്നോർക്കുമ്പോൾ വിഷമം തോന്നുന്നു. പേരെഴുതാൻ പോലും അറിയാത്ത 15 വയസുള്ള കുട്ടികളെ എനിക്ക് പത്തിലെ കെമിസ്ട്രി പഠിപ്പിക്കേണ്ടി വന്നിട്ടുണ്ട്. പറഞ്ഞിട്ട് കാര്യം ഇല്ല കടം മേടിക്കാൻ മാത്രം ത്വര കാണിക്കുന്ന സർക്കാരിനെ ആര് വിമർശിക്കാൻ. ആരെങ്കിലും എന്തേലും പറഞ്ഞാൽ അവന്റെ കാര്യം പോക്കാ,Non-abusive
കഷ്ടം .....എനിക്ക് മോളെ ഭയങ്കര ഇഷ്ടമായി രണ്ടാളിനേയും ദൈവം അനുഗ്രഹിക്കട്ടെ .....,Non-abusive
അനൂപേ നന്നായി പോകുന്ന പ്രോഗ്രാം ആയിരുന്നു താങ്കളും നല്ല അവതരണം ആയിരുന്നു ഈ എപ്പിസോഡ് വരെ ....ഇനി മേലാൽ ഒരു ഗുലുമാൽ ഞാൻ കാണില്ല വെറുപ്പിച്ചുകളഞ്ഞു ....നിലവാരം പറ്റെ താഴ്ന്നിരിക്കുന്നു,Non-abusive
"""അന്നേ ആ കണ്ണ് അടിച്ചുപൊട്ടിച്ചാ മതിയായിരുന്നു ഒരു തെറ്റു ഇതുപോലീസ്കാരംനും പറ്റും,""",Abusive
ഈ പണ്ടാരത്തിന്റെ മുഖം കാണുന്നത് തന്നെ അറപ്പാണ് . പൊന്നു അനൂപ് ചേട്ടാ ഈജാതി വാണങ്ങളെയൊന്നും വിളിച്ചു പരിപാടിയുടെ വില കളയരുത് പ്ലീസ്,Abusive
ഈ കൂറ ചാനലിന്റെ നിലവാരം താഴേക്ക് താഴേക്ക് ആണല്ലോ തുഫ്,Non-abusive
